stem,POS,totalImages,Data Density / Image Clutter,Visual Encoding Clarity,Semantics / Text Legibility,Schema,"Color, Symbol, and Texture Details",Aesthetics Uncertainty,Immediacy / Cognitive Load
color,"ADJ, NOUN, PROPN, VERB",193,95,71,82,71,186,33,97
understand,"ADJ, NOUN, VERB",106,48,30,40,35,45,17,104
information,NOUN,79,60,25,37,27,40,13,52
shape,"NOUN, PROPN, VERB",66,42,53,30,26,50,10,34
line,NOUN,63,42,45,33,25,34,13,38
differ,"ADJ, ADV, NOUN, VERB",62,41,33,33,22,43,14,44
lot,NOUN,55,50,18,30,20,35,9,32
hard,"ADJ, ADV",51,27,25,20,17,28,19,48
datum,NOUN,48,37,14,23,18,25,9,30
detail,"ADJ, NOUN, PROPN",48,45,20,19,21,31,8,31
easy,ADJ,48,22,20,25,25,24,9,45
number,NOUN,47,30,20,33,22,32,9,25
point,"NOUN, PROPN, VERB",45,30,19,19,19,24,9,28
word,"NOUN, VERB",44,22,13,42,15,20,7,22
read,"NOUN, VERB",44,18,21,22,14,19,14,40
clear,"ADJ, ADV",43,13,19,22,23,24,13,34
difficult,ADJ,41,20,15,17,15,21,9,41
text,"NOUN, VERB",41,26,18,38,16,28,10,22
image,"NOUN, PROPN, VERB",33,17,10,10,15,14,5,26
element,NOUN,30,27,17,17,11,20,5,17
axis,"ADJ, NOUN",30,15,13,27,16,18,4,15
visual,"ADJ, ADV, NOUN, VERB",29,17,11,14,18,19,9,23
graph,NOUN,27,12,7,12,21,9,9,15
small,"ADJ, PROPN",26,20,12,20,10,17,5,17
size,"NOUN, PROPN, VERB",26,16,20,14,8,18,3,12
label,"NOUN, PROPN, VERB",25,13,8,25,16,13,7,16
contrast,"NOUN, VERB",22,19,8,11,7,22,6,10
complex,"ADJ, NOUN, PROPN",21,8,10,8,8,16,2,14
legend,"NOUN, VERB",21,12,9,21,10,12,2,10
dot,"ADJ, NOUN",21,14,14,9,10,14,2,11
time,NOUN,20,12,4,6,7,8,4,20
confuse,"ADJ, VERB",19,12,11,11,11,15,12,17
process,"NOUN, VERB",18,12,7,7,11,11,3,16
know,VERB,18,6,7,9,8,8,5,18
pattern,NOUN,18,4,5,6,15,11,3,11
familiar,"ADJ, NOUN, VERB",18,4,5,9,18,9,2,10
chart,"NOUN, PROPN, VERB",18,11,6,11,12,10,4,13
multiple,ADJ,17,14,8,11,7,11,5,12
simple,ADJ,17,8,8,8,10,9,4,16
mean,"NOUN, VERB",17,6,3,9,6,11,4,15
map,"NOUN, PROPN",17,8,5,12,17,12,2,11
interpret,"ADJ, NOUN, VERB",16,5,4,7,6,6,2,16
easily,ADV,16,4,4,9,9,6,4,14
look,VERB,16,6,4,7,9,12,7,12
graphic,"ADJ, ADV, NOUN, PROPN",15,6,4,7,8,8,1,9
data,"NOUN, PROPN",15,13,6,8,8,9,4,13
item,NOUN,14,13,7,5,2,9,3,10
circle,"NOUN, PROPN",14,8,8,5,8,10,4,7
write,"NOUN, VERB",13,10,4,13,6,8,6,11
shade,"NOUN, VERB",13,7,6,8,4,13,1,7
represent,VERB,13,5,6,5,7,11,2,10
sense,NOUN,13,6,9,6,10,5,2,13
title,NOUN,13,6,2,13,6,6,1,6
key,"NOUN, PROPN",13,7,4,10,4,8,3,10
bar,NOUN,12,4,7,5,7,5,2,10
