stem,POS,totalImages,Area,Bar,Cont.-ColorPatn,Glyph,Grid,Line,Node-link,Point,Text
color,"ADJ, NOUN, PROPN, VERB",193,31,18,28,19,28,14,22,18,15
understand,"ADJ, NOUN, VERB",106,15,13,7,15,14,11,12,7,10
information,NOUN,79,8,5,6,4,13,6,15,13,7
shape,"NOUN, PROPN, VERB",66,6,1,6,18,8,3,5,14,5
line,NOUN,63,2,4,2,6,2,16,18,9,3
differ,"ADJ, ADV, NOUN, VERB",62,11,4,3,7,9,4,11,6,6
lot,NOUN,55,9,7,3,3,11,1,9,8,4
hard,"ADJ, ADV",51,4,4,6,3,4,7,8,7,6
datum,NOUN,48,8,6,5,5,8,3,3,10,0
detail,"ADJ, NOUN, PROPN",48,9,5,5,4,7,3,6,6,3
easy,ADJ,48,13,6,2,1,4,6,4,8,3
number,NOUN,47,9,2,2,3,6,10,7,6,2
point,"NOUN, PROPN, VERB",45,4,2,4,3,6,6,8,10,1
word,"NOUN, VERB",44,3,2,1,0,4,1,6,3,23
read,"NOUN, VERB",44,10,6,1,3,3,6,6,2,6
clear,"ADJ, ADV",43,5,5,3,4,2,3,8,9,3
difficult,ADJ,41,6,2,5,6,1,3,9,2,6
text,"NOUN, VERB",41,6,3,1,2,8,4,5,6,6
image,"NOUN, PROPN, VERB",33,4,1,3,3,6,0,10,5,0
element,NOUN,30,3,4,2,3,2,2,6,6,2
axis,"ADJ, NOUN",30,5,2,4,0,4,5,2,8,0
visual,"ADJ, ADV, NOUN, VERB",29,4,3,5,6,4,0,3,3,1
graph,NOUN,27,1,5,1,1,2,7,1,4,4
small,"ADJ, PROPN",26,7,0,2,0,3,1,4,6,3
size,"NOUN, PROPN, VERB",26,5,1,1,2,3,2,3,1,7
label,"NOUN, PROPN, VERB",25,2,3,2,1,6,1,4,5,1
contrast,"NOUN, VERB",22,2,1,1,1,8,0,4,5,0
complex,"ADJ, NOUN, PROPN",21,4,4,4,1,1,1,1,2,3
legend,"NOUN, VERB",21,5,1,2,4,2,1,1,5,0
dot,"ADJ, NOUN",21,2,1,0,3,1,0,7,7,0
time,NOUN,20,5,1,0,1,3,3,3,4,0
confuse,"ADJ, VERB",19,4,2,0,3,4,2,2,0,2
process,"NOUN, VERB",18,5,1,2,0,2,1,4,2,1
know,VERB,18,4,0,5,3,0,1,2,3,0
pattern,NOUN,18,1,0,3,7,0,0,5,2,0
familiar,"ADJ, NOUN, VERB",18,6,0,0,4,0,3,1,2,2
chart,"NOUN, PROPN, VERB",18,4,2,1,0,2,3,2,1,2
multiple,ADJ,17,3,0,1,4,6,1,1,1,0
simple,ADJ,17,5,3,0,0,1,1,2,3,1
mean,"NOUN, VERB",17,1,2,1,2,2,1,3,1,3
map,"NOUN, PROPN",17,9,0,3,1,0,0,1,1,2
interpret,"ADJ, NOUN, VERB",16,3,3,0,1,1,0,3,5,0
easily,ADV,16,3,2,1,3,2,1,1,0,3
look,VERB,16,3,0,1,2,5,0,1,2,1
graphic,"ADJ, ADV, NOUN, PROPN",15,4,1,1,3,0,1,0,2,2
data,"NOUN, PROPN",15,0,2,1,1,1,2,1,7,0
item,NOUN,14,1,1,2,3,2,0,1,2,2
circle,"NOUN, PROPN",14,2,2,1,1,0,3,0,4,1
write,"NOUN, VERB",13,2,1,0,2,3,0,2,1,2
shade,"NOUN, VERB",13,4,1,1,2,3,0,2,0,0
represent,VERB,13,2,2,3,1,1,2,1,1,0
sense,NOUN,13,1,0,1,1,1,2,3,4,0
title,NOUN,13,1,2,0,1,1,2,1,3,2
key,"NOUN, PROPN",13,5,1,0,0,3,1,1,2,0
