Rank,Area,Area(count),Bar,Bar(count),Cont.-ColorPatn,Cont.-ColorPatn(count),Glyph,Glyph(count),Grid,Grid(count),Line,Line(count),Node-link,Node-link(count),Point,Point(count),Text,Text(count)
1,"domain-specific concepts (e.g., chemical, biology, map)",12,more charts/points/lines/shapes/elements,9,more charts/points/lines/shapes/elements,9,more charts/points/lines/shapes/elements,9,more charts/points/lines/shapes/elements,10,more charts/points/lines/shapes/elements,7,more charts/points/lines/shapes/elements,11,more charts/points/lines/shapes/elements,13,word rotation/small font size,6
2,more charts/points/lines/shapes/elements,7,unclear meaning/confusing,3,unclear colors/contrast,3,distracting/confusing/unclear,4,take longer to interpret,5,unclear meaning/confusing,5,overlapping shapes/colors/lines,8,"domain-specific concepts (e.g., chemical, biology, map)",6,"domain-specific concepts (e.g., chemical, biology, map)",4
3,take longer to interpret,5,amount of words/context/numbers,3,distracting/confusing/unclear,3,unclear meaning/confusing,4,"domain-specific concepts (e.g., chemical, biology, map)",4,"domain-specific concepts (e.g., chemical, biology, map)",5,shapes and lines,7,take longer to interpret,4,more charts/points/lines/shapes/elements,3
4,word rotation/small font size,5,shapes and lines,2,"domain-specific concepts (e.g., chemical, biology, map)",3,shapes and lines,4,amount of words/context/numbers,4,take longer to interpret,4,"domain-specific concepts (e.g., chemical, biology, map)",6,word rotation/small font size,4,two colors,3
5,amount of words/context/numbers,4,scale difference,1,unclear meaning/confusing,3,inadequate/few coloring,3,read/analyze many figures/items,4,distracting/confusing/unclear,4,unclear meaning/confusing,5,amount of words/context/numbers,3,amount of words/context/numbers,3
6,soft/layered/overlapping colors,4,two colors,1,2D/3D,2,take longer to interpret,2,unclear meaning/confusing,3,shapes and lines,3,amount of words/context/numbers,3,shapes and lines,3,unclear meaning/confusing,2
7,unclear meaning/confusing,4,2D/3D,1,blurry colors/images,2,shape size,2,distinguishable/full/highly contrast color uses,3,overlapping shapes/colors/lines,3,take longer to interpret,3,more parameters/variables,2,simple visual elements,1
8,distracting/confusing/unclear,3,soft/layered/overlapping colors,1,distinguishable/full/highly contrast color uses,1,white/black background / other background,2,more parameters/variables,3,shape increase/decrease point,2,2D/3D,3,distracting/confusing/unclear,2,understand/read shapes,1
9,bright colors,2,more labels/context,1,overlapping shapes/colors/lines,1,symbols,1,inadequate/few coloring,3,clear colors/shapes,1,shape point of interest,2,more labels/context,2,monochrome,1
10,overlapping shapes/colors/lines,2,design-data relationship,1,understand/read shapes,1,overlapping shapes/colors/lines,1,distinguishable color variety/arrangement/distribution,2,shape variation,1,monochrome,2,overlapping shapes/colors/lines,2,clear text arrangement/density,1
11,distinguishable color variety/arrangement/distribution,2,distracting/confusing/unclear,1,more difficult to focus/follow,1,ordered,1,several elements,2,design-data relationship,1,shape position,1,2D/3D,2,more labels/context,1
12,more parameters/variables,2,take longer to interpret,1,ordered,1,abstract shapes or colors,1,distracting/confusing/unclear,2,more parameters/variables,1,understand/read shapes,1,shape increase/decrease point,1,less organized elements,1
13,clear text/scale/information,2,unclear colors/contrast,1,more regions/space,1,"domain-specific concepts (e.g., chemical, biology, map)",1,more regions/space,1,amount of words/context/numbers,1,distinguishable/full/highly contrast color uses,1,little/less text/numbers/context,1,shape position,1
14,shapes and lines,2,clear colors/shapes,1,abstract shapes or colors,1,2D/3D,1,clear text arrangement/density,1,scale difference,1,abstract shapes or colors,1,unclear colors/contrast,1,design-data relationship,1
15,shape point of interest,1,,0,shapes and lines,1,less organized elements,1,unclear colors/contrast,1,simple visual elements,1,clear colors/shapes,1,shape position,1,scale difference,1
16,inadequate/few coloring,1,,0,several elements,1,amount of words/context/numbers,1,soft/layered/overlapping colors,1,unclear colors/contrast,1,bright colors,1,clear colors/shapes,1,shapes and lines,1
17,clear colors/shapes,1,,0,take longer to interpret,1,,0,blurry colors/images,1,understand/read shapes,1,random-like shapes,1,more difficult to focus/follow,1,distracting/confusing/unclear,1
18,little/less text/numbers/context,1,,0,,0,,0,"scattered shapes (e.g., dots, squares, pictures)",1,,0,distracting/confusing/unclear,1,inadequate/few coloring,1,,0
19,more regions/space,1,,0,,0,,0,word rotation/small font size,1,,0,clear text/scale/information,1,ordered,1,,0
20,unclear colors/contrast,1,,0,,0,,0,white/black background / other background,1,,0,design-data relationship,1,abstract shapes or colors,1,,0
