keyword,primary_topic,Area,Bar,Cont.-ColorPatn,Glyph,Grid,Line,Node-link,Point,Text
more charts/points/lines/shapes/elements,Data Density / Image Clutter,20.0,13.924050632911392,21.311475409836063,17.5,31.645569620253166,12.857142857142856,22.35294117647059,32.05128205128205,8.823529411764707
much/little data/info,Data Density / Image Clutter,25.882352941176475,17.72151898734177,19.672131147540984,12.5,31.645569620253166,14.285714285714285,23.52941176470588,34.61538461538461,20.588235294117645
overlapping shapes/colors/lines,Data Density / Image Clutter,10.588235294117647,3.79746835443038,6.557377049180328,5.0,16.455696202531644,4.285714285714286,17.647058823529413,14.102564102564102,5.88235294117647
clear colors/shapes,Visual Encoding Clarity,1.1764705882352942,1.2658227848101267,0.0,0.0,0.0,1.4285714285714286,1.1764705882352942,1.282051282051282,0.0
shapes and lines,Visual Encoding Clarity,15.294117647058824,12.658227848101266,16.39344262295082,26.25,12.658227848101266,25.71428571428571,31.76470588235294,17.94871794871795,13.23529411764706
understand/read shapes,Visual Encoding Clarity,1.1764705882352942,0.0,1.639344262295082,0.0,0.0,1.4285714285714286,1.1764705882352942,0.0,1.4705882352941175
amount of words/context/numbers,Semantics / Text Legibility,9.411764705882353,5.063291139240507,3.278688524590164,3.75,21.518987341772153,7.142857142857142,16.470588235294116,17.94871794871795,26.47058823529412
labels/axes/legends,Semantics / Text Legibility,29.411764705882355,16.455696202531644,16.39344262295082,17.5,24.050632911392405,20.0,10.588235294117647,25.64102564102564,11.76470588235294
word rotation/small font size,Semantics / Text Legibility,14.117647058823529,2.5316455696202533,0.0,1.25,8.860759493670885,7.142857142857142,3.5294117647058822,11.538461538461538,22.058823529411764
2D/3D,Schema,10.588235294117647,1.2658227848101267,9.836065573770492,7.5,3.79746835443038,2.857142857142857,7.0588235294117645,6.41025641025641,1.4705882352941175
abstract shapes or colors,Schema,1.1764705882352942,0.0,1.639344262295082,1.25,0.0,0.0,1.1764705882352942,1.282051282051282,0.0
"domain-specific concepts (e.g., chemical, biology, map)",Schema,43.529411764705884,10.126582278481013,27.86885245901639,26.25,20.253164556962027,24.285714285714285,25.882352941176475,28.205128205128204,22.058823529411764
color contrast/clarity,"Color, Symbol, and Texture Details",22.35294117647059,6.329113924050633,19.672131147540984,17.5,17.72151898734177,2.857142857142857,14.117647058823529,12.82051282051282,8.823529411764707
color variety/shading,"Color, Symbol, and Texture Details",37.64705882352941,21.518987341772153,37.704918032786885,20.0,29.11392405063291,20.0,21.176470588235293,20.51282051282051,11.76470588235294
symbols,"Color, Symbol, and Texture Details",1.1764705882352942,0.0,3.278688524590164,2.5,1.2658227848101267,2.857142857142857,2.3529411764705883,1.282051282051282,0.0
distracting/confusing/unclear,Aesthetics Uncertainty,11.76470588235294,2.5316455696202533,8.19672131147541,15.0,11.39240506329114,8.571428571428571,7.0588235294117645,10.256410256410255,8.823529411764707
unclear colors/contrast,Aesthetics Uncertainty,1.1764705882352942,1.2658227848101267,4.918032786885246,0.0,1.2658227848101267,1.4285714285714286,0.0,1.282051282051282,0.0
easy/hard to interpret,Immediacy / Cognitive Load,67.05882352941175,37.9746835443038,36.0655737704918,35.0,32.91139240506329,30.0,54.11764705882353,44.871794871794876,38.23529411764706
take longer to interpret,Immediacy / Cognitive Load,11.76470588235294,12.658227848101266,6.557377049180328,6.25,15.18987341772152,7.142857142857142,5.88235294117647,11.538461538461538,4.411764705882353
unclear meaning/confusing,Immediacy / Cognitive Load,9.411764705882353,7.59493670886076,13.114754098360656,16.25,10.126582278481013,12.857142857142856,14.117647058823529,14.102564102564102,10.294117647058822
