(234) Area,(126) Bar,(166) Cont.-ColorPatn,(191) Glyph,(187) Grid,(154) Line,(225) Node-link,(189) Point,(130) Text
(31) color,(18) color,(28) color,(19) color,(28) color,(16) line,(22) color,(18) color,(23) word
(15) understand,(13) understand,(7) understand,(18) shape,(14) understand,(14) color,(18) line,(14) shape,(15) color
(13) easy,(7) lot,(6) information,(15) understand,(13) information,(11) understand,(15) information,(13) information,(10) understand
(11) differ,(7) bar,(6) shape,(7) differ,(11) lot,(10) number,(12) understand,(10) point,(7) information
(10) read,(6) easy,(6) hard,(7) pattern,(9) differ,(7) graph,(11) differ,(10) datum,(7) size
(9) lot,(6) datum,(5) datum,(6) difficult,(8) shape,(7) hard,(10) image,(9) line,(6) hard
(9) map,(6) read,(5) visual,(6) line,(8) datum,(6) easy,(9) lot,(9) clear,(6) difficult
(9) number,(5) detail,(5) know,(6) visual,(8) contrast,(6) point,(9) difficult,(8) lot,(6) text
(9) detail,(5) clear,(5) detail,(5) datum,(8) text,(6) information,(8) point,(8) easy,(6) read
(8) information,(5) graph,(5) difficult,(4) clear,(7) detail,(6) read,(8) clear,(8) axis,(6) differ
(8) datum,(5) information,(5) eye,(4) information,(7) need,(5) axis,(8) hard,(7) understand,(5) shape
(7) small,(4) element,(4) complex,(4) legend,(6) label,(4) differ,(7) dot,(7) hard,(5) font
(6) shape,(4) line,(4) point,(4) detail,(6) point,(4) text,(7) number,(7) dot,(4) graph
(6) text,(4) hard,(4) axis,(4) multiple,(6) number,(3) shape,(6) word,(7) data,(4) lot
(6) familiar,(4) complex,(4) discern,(4) familiar,(6) image,(3) difficult,(6) element,(6) detail,(3) clear
(6) difficult,(4) differ,(4) separate,(4) like,(6) multiple,(3) detail,(6) read,(6) number,(3) small
(5) size,(3) visual,(3) map,(3) know,(5) look,(3) datum,(6) detail,(6) element,(3) line
(5) legend,(3) label,(3) lot,(3) number,(4) visual,(3) clear,(6) connect,(6) small,(3) easy
(5) time,(3) interpret,(3) pattern,(3) point,(4) hard,(3) high,(5) shape,(6) differ,(3) easily
(5) clear,(3) need,(3) clear,(3) dot,(4) confuse,(3) choice,(5) pattern,(6) text,(3) mean
(5) simple,(3) simple,(3) image,(3) read,(4) easy,(3) scale,(5) text,(5) image,(3) complex
(5) process,(3) text,(3) differ,(3) element,(4) similar,(3) variation,(5) follow,(5) label,(3) detail
(5) axis,(3) require,(3) represent,(3) image,(4) variable,(3) circle,(4) label,(5) interpret,(3) design
(5) key,(2) axis,(3) lack,(3) graphic,(4) word,(3) chart,(4) contrast,(5) legend,(3) letter
(5) glance,(2) mean,(3) white,(3) confuse,(4) axis,(3) familiar,(4) easy,(5) contrast,(2) graphic
(4) hard,(2) chart,(2) small,(3) easily,(4) square,(3) time,(4) small,(4) time,(2) number
(4) image,(2) difficult,(2) process,(3) item,(4) high,(2) country,(4) process,(4) graph,(2) familiar
(4) chart,(2) word,(2) measure,(3) lot,(3) shade,(2) intersect,(3) time,(4) circle,(2) map
