section,subcategory,term,n_images
visual_objects,mark,line,34
visual_objects,mark,dot,13
visual_objects,mark,circle,7
visual_objects,mark,bar,2
visual_objects,mark,square,3
visual_objects,mark,point,7
visual_objects,mark,arrow,1
visual_objects,mark,path,1
visual_objects,mark,gradient,1
visual_objects,mark,shape,3
visual_objects,chart_component,axis,7
visual_objects,chart_component,legend,3
visual_objects,chart_component,label,5
visual_objects,chart_component,title,10
visual_objects,chart_component,grid,2
visual_objects,chart_component,scale,4
visual_objects,chart_component,key,4
visual_objects,chart_component,annotation,2
visual_objects,chart_component,box,4
visual_objects,chart_component,table,1
visual_objects,chart_type,map,6
visual_objects,chart_type,graph,5
visual_objects,chart_type,bar graph,3
visual_objects,chart_type,world map,2
visual_objects,chart_type,network,2
visual_objects,chart_type,chart,7
visual_objects,chart_type,image,6
visual_objects,chart_type,picture,5
visual_objects,chart_type,graphic,3
visual_objects,data_element,datum,12
visual_objects,data_element,data,11
visual_objects,data_element,datum point,4
visual_objects,data_element,value,3
visual_objects,data_element,variable,1
visual_objects,data_element,measurement,3
visual_objects,data_element,quantity,2
visual_objects,data_element,frequency,2
visual_objects,data_element,distribution,4
visual_objects,data_element,range,3
visual_objects,data_element,spread,3
visual_objects,data_element,density,3
visual_objects,data_element,parameter,2
visual_objects,data_element,entity,2
visual_objects,annotation,annotation,2
visual_objects,annotation,description,5
visual_objects,annotation,explanation,2
visual_objects,annotation,symbol,4
visual_objects,annotation,code,1
visual_objects,annotation,term,3
visual_objects,annotation,name,3
visual_objects,annotation,writing,3
visual_objects,annotation,text,27
visual_objects,annotation,word,2
visual_objects,annotation,letter,2
visual_objects,annotation,font,1
visual_objects,domain_object,country,4
visual_objects,domain_object,region,2
visual_objects,domain_object,world,1
visual_objects,domain_object,object,3
visual_objects,domain_object,feature,1
visual_objects,domain_object,element,5
visual_objects,domain_object,item,6
visual_objects,domain_object,collection,1
visual_objects,domain_object,set,1
visual_objects,layout_component,layout,3
visual_objects,layout_component,space,6
visual_objects,layout_component,area,5
visual_objects,layout_component,position,1
visual_objects,layout_component,arrangement,1
visual_objects,layout_component,structure,2
visual_objects,layout_component,dimension,3
visual_objects,layout_component,intersection,2
visual_objects,layout_component,pattern,4
visual_objects,layout_component,grid,2
visual_objects,perceptual_element,color,2
visual_objects,perceptual_element,color,2
visual_objects,perceptual_element,shade,1
visual_objects,perceptual_element,contrast,4
visual_objects,perceptual_element,size,10
visual_objects,perceptual_element,shape,3
visual_objects,perceptual_element,color scheme,3
visual_objects,perceptual_element,color contrast,3
visual_objects,perceptual_element,color difference,3
visual_objects,perceptual_element,color distribution,3
visual_objects,cognitive_element,information,34
visual_objects,cognitive_element,info,4
visual_objects,cognitive_element,detail,14
visual_objects,cognitive_element,meaning,3
visual_objects,cognitive_element,context,3
visual_objects,cognitive_element,idea,8
visual_objects,cognitive_element,sense,9
visual_objects,cognitive_element,purpose,2
visual_objects,cognitive_element,logic,2
visual_objects,cognitive_element,understanding,1
visual_objects,cognitive_element,interpretation,1
visual_objects,cognitive_element,content,3
visual_objects,cognitive_element,aspect,3
visual_objects,quantity_reference,number,34
visual_objects,quantity_reference,a lot,35
visual_objects,quantity_reference,lot,21
visual_objects,quantity_reference,multitude,2
visual_objects,quantity_reference,volume,3
visual_objects,quantity_reference,variety,5
visual_objects,quantity_reference,amount,0
visual_objects,quantity_reference,bit,5
visual_objects,quantity_reference,stuff,2
visual_objects,quantity_reference,more color,31
visual_objects,quantity_reference,more information,16
visual_objects,quantity_reference,more detail,10
visual_objects,quantity_reference,more datum,8
visual_objects,quantity_reference,more word,6
visual_objects,quantity_reference,more text,5
visual_objects,quantity_reference,more element,5
visual_objects,quantity_reference,more variable,4
visual_objects,quantity_reference,more line,4
visual_objects,quantity_reference,more item,3
visual_objects,quantity_reference,more time,7
visual_objects,quantity_reference,more datum point,3
visual_objects,quantity_reference,too many color,4
visual_objects,quantity_reference,too many line,3
visual_objects,quantity_reference,too much datum,3
visual_objects,quantity_reference,many element,4
visual_objects,quantity_reference,less information,2
visual_objects,quantity_reference,no idea,7
visual_objects,quantity_reference,no legend,4
visual_objects,quantity_reference,no detail,3
visual_objects,quantity_reference,no context,3
visual_objects,quantity_reference,small detail,4
visual_objects,quantity_reference,small text,3
visual_objects,quantity_reference,different color,15
visual_objects,quantity_reference,different shape,4
