term,pos_type,count,freq_pct,n_images,example_images
hard,adj,58,11.7,47,InfoVisC.65.4.png; InfoVisC.65.5(2).png; InfoVisC.65.6(2).png
different,adj,54,10.9,48,InfoVisC.115.3.png; InfoVisC.65.6(2).png; InfoVisJ.1009.9.png
easy,adj,51,10.3,42,InfoVisC.103.4.png; InfoVisJ.1063.13.png; InfoVisJ.1137.1.png
difficult,adj,42,8.5,36,InfoVisC.103.9.png; InfoVisC.24.3(2).png; InfoVisC.65.5(2).png
clear,adj,39,7.8,35,InfoVisC.157.1.png; InfoVisC.65.5(2).png; InfoVisC.65.8.png
small,adj,29,5.8,24,InfoVisC.157.1.png; InfoVisC.65.4.png; InfoVisJ.1149.6(1).png
multiple,adj,21,4.2,17,InfoVisJ.485.9.png; SciVisC.49.5.png; SciVisJ.700.11.png
simple,adj,18,3.6,15,InfoVisC.211.18.png; InfoVisC.65.8.png; InfoVisJ.1022.6.png
easily,adj,16,3.2,15,InfoVisJ.2546.10.png; InfoVisJ.2556.10.png; InfoVisJ.2556.8.png
familiar,adj,15,3.0,13,InfoVisC.211.8.png; InfoVisJ.1229.6.png; InfoVisJ.2402.12(1).png
complex,adj,14,2.8,14,InfoVisC.65.8.png; InfoVisJ.449.8.png; InfoVisJ.599.4.png
confusing,adj,13,2.6,12,InfoVisJ.1009.9.png; InfoVisJ.2556.10.png; InfoVisJ.349.1.png
black,adj,11,2.2,10,InfoVisJ.1063.13.png; InfoVisJ.349.1(2).png; SciVisJ.728.4(2).png
visually,adj,11,2.2,11,InfoVisJ.1149.6(1).png; InfoVisJ.1229.6.png; InfoVisJ.339.10.png
long,adj,10,2.0,10,InfoVisJ.2639.8.png; InfoVisJ.339.3.png; VASTC.41.5.png
white,adj,9,1.8,9,InfoVisJ.2699.12.png; InfoVisJ.349.1(2).png; SciVisJ.635.6.png
sure,adj,8,1.6,6,InfoVisC.57.4.png; InfoVisC.73.6.png; InfoVisJ.349.8.png
visual,adj,8,1.6,7,InfoVisJ.2181.9.png; InfoVisJ.2556.10.png; SciVisJ.728.14.png
recognizable,adj,7,1.4,7,InfoVisJ.2556.9.png; InfoVisJ.2576.2.png; SciVisJ.259.14.png
complicated,adj,7,1.4,7,InfoVisC.65.3.png; InfoVisJ.1558.5.png; InfoVisJ.485.9.png
random,adj,7,1.4,5,InfoVisJ.349.1.png; SciVisJ.995.10(3).png; VisC.559.6.png
detailed,adj,7,1.4,6,SciVisJ.801.15.png; VASTJ.1.10.png; economist_daily_chart_124.png
similar,adj,7,1.4,7,SciVisJ.1236.10.png; SciVisJ.728.14.png; VASTC.3.3.png
high,adj,7,1.4,7,InfoVisC.8.7.png; InfoVisJ.1149.6(1).png; InfoVisJ.2102.16.png
straight,adj,6,1.2,6,InfoVisJ.2699.12.png; VASTJ.432.7.png; economist_daily_chart_393.png
understandable,adj,6,1.2,6,InfoVisJ.339.3.png; SciVisJ.744.13.png; VASTJ.432.6.png
intuitive,adj,6,1.2,6,InfoVisJ.978.3.png; SciVisJ.728.14.png; VASTJ.51.7.png
cognitive,adj,6,1.2,2,VASTJ.51.7.png; vis673.png
clearly,adj,6,1.2,6,InfoVisJ.2412.16(2).png; InfoVisJ.2576.2.png; VASTC.24.5.png
little,adj,6,1.2,6,InfoVisC.173.9.png; VASTJ.1720.12.png; economist_daily_chart_152.png
unfamiliar,adj,6,1.2,6,SciVisJ.561.7.png; SciVisJ.867.6.png; VASTC.123.3.png
unclear,adj,6,1.2,5,InfoVisJ.2102.16.png; InfoVisJ.522.15.png; InfoVisJ.631.1(2).png
unique,adj,5,1.0,5,InfoVisJ.1084.2.png; SciVisJ.1005.12.png; economist_daily_chart_372.png
busy,adj,5,1.0,5,SciVisJ.857.9.png; VASTJ.2012.9(2).png; v488_n7410_15_f3.png
straightforward,adj,4,0.8,4,VisC.389.1(3).png; treasuryG07_2.png; v483_n7391_8_f5.png
colored,adj,4,0.8,4,InfoVisJ.1247.10.png; VASTC.1.7.png; v483_n7391_8_f5.png
key,adj,4,0.8,2,VASTJ.51.7.png; vis673.png
dark,adj,4,0.8,4,SciVisJ.1005.1.png; SciVisJ.1819.4(5).png; SciVisJ.728.4(2).png
red,adj,4,0.8,4,InfoVisJ.2699.12.png; economist_daily_chart_110.png; economist_daily_chart_393.png
separate,adj,4,0.8,4,InfoVisJ.2181.9.png; InfoVisJ.485.9.png; VisC.87.8.png
individual,adj,4,0.8,4,SciVisJ.1043.12(4).png; VASTC.1.7.png; np_21.png
graphic,adj,4,0.8,4,InfoVisJ.1247.10.png; SciVisJ.797.13(4).png; VASTJ.320.11.png
large,adj,4,0.8,4,InfoVisJ.1149.6(1).png; VASTJ.422.7.png; visMost573.png
quickly,adj,4,0.8,4,InfoVisJ.2546.10.png; SciVisJ.867.7.png; VASTJ.2012.9(2).png
exact,adj,4,0.8,3,VisC.599.6.png; VisJ.1243.3.png; VisJ.1515.12.png
big,adj,4,0.8,4,InfoVisJ.339.3.png; MorphableWordClouds5.png; VASTJ.422.7.png
abstract,adj,4,0.8,4,VASTC.121.5.png; VisJ.1949.11(2).png; v487_n7406_13_f2.png
fine,adj,4,0.8,4,InfoVisJ.2082.3.png; VASTC.1.7.png; VisC.248.3.png
discernible,adj,3,0.6,3,InfoVisJ.651.7.png; SciVisJ.801.15.png; VASTJ.1139.3(2).png
