imageName,VisType,NormalizedVC,nodes,edges,attributes,attr_density,edge_density,positive_count,negative_count,positive_ratio,subtopics_covered,regions_used
visMost97.png,Area,0.38,3,2,4,1.33,0.333,0,6,0.0,2,2
InfoVisJ.2402.12(1).png,Area,0.88,5,3,5,1.0,0.15,6,2,0.75,3,1
VisC.503.6.png,Bar,0.22,3,2,4,1.33,0.333,2,4,0.33,2,2
VisC.167.11.png,Bar,0.5,5,3,3,0.6,0.15,0,6,0.0,3,2
VisJ.1515.12.png,Cont.-ColorPatn,0.58,6,5,8,1.33,0.167,13,0,1.0,5,3
VisJ.1541.1(2).png,Cont.-ColorPatn,0.77,4,3,4,1.0,0.25,6,1,0.86,3,2
InfoVisJ.1558.9.png,Glyph,0.54,7,5,10,1.43,0.119,14,1,0.93,4,2
SciVisJ.980.12(2).png,Glyph,0.77,4,3,4,1.0,0.25,4,3,0.57,3,3
VASTJ.2908.2.png,Grid,0.52,4,3,3,0.75,0.25,6,0,1.0,3,1
InfoVisJ.1149.6(1).png,Grid,0.95,4,5,7,1.75,0.417,12,0,1.0,5,3
whoJ44.png,Line,0.31,2,2,2,1.0,1.0,1,3,0.25,2,1
wsj603.png,Line,0.57,5,3,5,1.0,0.15,7,1,0.88,3,2
InfoVisC.133.5(3).png,Node-link,0.48,6,4,5,0.83,0.133,7,2,0.78,4,2
InfoVisC.65.5(2).png,Node-link,0.92,4,4,7,1.75,0.333,11,0,1.0,4,2
SciVisJ.1025.11.png,Point,0.36,5,4,7,1.4,0.2,9,2,0.82,4,3
VASTJ.422.7.png,Point,0.64,4,3,4,1.0,0.25,7,0,1.0,3,2
InfoVisC.73.6.png,Text,0.39,6,4,7,1.17,0.133,6,5,0.55,4,2
VASTC.13.9.png,Text,0.88,6,4,4,0.67,0.133,8,0,1.0,4,2
