imageName,VisType,NormalizedVC,nodes,edges,attributes,attr_density,edge_density,positive_count,negative_count,positive_ratio,subtopics_covered,regions_used
wsj21.png,Area,0.63,4,4,6,1.5,0.333,3,7,0.3,4,4
InfoVisJ.1009.9.png,Area,0.73,5,4,6,1.2,0.2,9,1,0.9,4,4
visMost777.png,Area,0.64,5,4,6,1.2,0.2,10,0,1.0,4,4
v484_n7395_11_f2.png,Area,0.7,5,3,6,1.2,0.15,9,0,1.0,3,3
vis3.png,Area,0.7,6,5,6,1.0,0.167,11,0,1.0,5,4
visMost97.png,Area,0.38,5,4,6,1.2,0.2,0,10,0.0,4,3
whoJ40_2.png,Area,0.28,4,3,5,1.25,0.25,4,4,0.5,3,2
economist_daily_chart_493.png,Area,0.59,6,4,6,1.0,0.133,10,0,1.0,4,5
VASTC.107.10.png,Area,0.63,6,4,6,1.0,0.133,9,1,0.9,4,4
visMost786.png,Area,0.53,5,4,5,1.0,0.2,2,7,0.22,2,4
visMost325.png,Area,0.61,6,5,7,1.17,0.167,12,0,1.0,5,4
InfoVisJ.2402.12(1).png,Area,0.88,6,4,6,1.0,0.133,10,0,1.0,4,3
visMost147.png,Area,0.59,6,5,7,1.17,0.167,10,2,0.83,5,3
VisJ.1261.4.png,Area,0.6,5,4,6,1.2,0.2,10,0,1.0,4,4
v484_n7395_11_f1.png,Area,0.6,5,4,5,1.0,0.2,9,0,1.0,4,3
whoQ26.png,Area,0.37,6,5,7,1.17,0.167,3,9,0.25,5,3
economist_daily_chart_140.png,Area,0.52,7,5,7,1.0,0.119,12,0,1.0,5,5
economist_daily_chart_317.png,Area,0.45,6,5,7,1.17,0.167,6,6,0.5,5,4
InfoVisJ.678.17.png,Area,0.51,4,3,5,1.25,0.25,0,8,0.0,3,2
visMost573.png,Area,0.77,7,5,8,1.14,0.119,12,1,0.92,5,4
whoK06_1.png,Area,0.55,5,4,5,1.0,0.2,9,0,1.0,4,3
economist_daily_chart_267.png,Area,0.52,5,3,5,1.0,0.15,6,2,0.75,3,4
v486_n7403_11_f2.png,Area,0.38,5,3,5,1.0,0.15,7,1,0.88,3,3
VASTJ.1763.9.png,Area and Text,0.74,5,4,6,1.2,0.2,10,0,1.0,4,3
InfoVisJ.2402.12.png,Area,0.83,6,5,7,1.17,0.167,12,0,1.0,5,4
wsj72.png,Area,0.52,5,4,5,1.0,0.2,0,9,0.0,4,4
treasuryL11_2.png,Area,0.38,5,3,5,1.0,0.15,0,8,0.0,3,4
wsj99.png,Area,0.52,5,4,5,1.0,0.2,9,0,1.0,4,4
economist_daily_chart_406.png,Area,0.59,5,4,5,1.0,0.2,0,9,0.0,4,5
economist_daily_chart_153.png,Area,0.53,5,4,6,1.2,0.2,0,10,0.0,4,3
whoQ58_3.png,Area,0.51,7,5,7,1.0,0.119,12,0,1.0,5,4
treasuryL03_2.png,Area,0.56,4,4,7,1.75,0.333,11,0,1.0,4,3
economist_daily_chart_124.png,Area,0.5,6,5,7,1.17,0.167,7,5,0.58,5,4
VASTJ.91.6.png,Area,0.64,4,3,5,1.25,0.25,8,0,1.0,3,2
whoQ44_4.png,Area,0.52,6,5,7,1.17,0.167,8,4,0.67,5,3
visMost457.png,Area,0.65,5,4,6,1.2,0.2,10,0,1.0,4,4
InfoVisC.115.3.png,Area,0.7,6,4,6,1.0,0.133,10,0,1.0,4,3
visMost393.png,Area,0.73,5,3,5,1.0,0.15,0,8,0.0,3,4
InfoVisC.173.7(1).png,Area,0.68,5,4,5,1.0,0.2,9,0,1.0,4,4
vis853.png,Area,0.71,5,4,5,1.0,0.2,8,1,0.89,4,3
whoQ58_4.png,Area,0.29,5,4,5,1.0,0.2,0,9,0.0,4,4
wsj511.png,Area,0.37,5,3,5,1.0,0.15,0,8,0.0,3,3
vis630.png,Area,0.39,5,4,7,1.4,0.2,11,0,1.0,4,4
VASTJ.828.7.png,Area,0.47,5,4,5,1.0,0.2,3,6,0.33,4,3
VASTJ.320.11.png,Area,0.47,5,3,5,1.0,0.15,8,0,1.0,3,5
whoK16_3.png,Area,0.5,5,4,5,1.0,0.2,7,2,0.78,4,3
InfoVisJ.1634.6.png,Area,0.52,5,4,5,1.0,0.2,9,0,1.0,4,3
InfoVisJ.1236.13.png,Area,0.53,6,5,6,1.0,0.167,11,0,1.0,5,3
whoO10_2.png,Area,0.53,5,3,5,1.0,0.15,6,2,0.75,3,3
InfoVisJ.1634.1.png,Area,0.57,5,4,5,1.0,0.2,9,0,1.0,4,5
InfoVisJ.978.3.png,Area,0.57,5,4,5,1.0,0.2,9,0,1.0,4,3
InfoVisJ.599.4.png,Area,0.58,5,3,5,1.0,0.15,7,1,0.88,3,2
whoJ48_2.png,Area,0.6,5,4,5,1.0,0.2,2,7,0.22,4,3
InfoVisC.211.8.png,Area,0.63,5,5,7,1.4,0.25,7,5,0.58,5,4
vis718.png,Area,0.63,5,4,5,1.0,0.2,9,0,1.0,4,4
InfoVisJ.2072.16.png,Area,0.65,5,5,6,1.2,0.25,11,0,1.0,5,4
economist_daily_chart_110.png,Area,0.65,6,5,7,1.17,0.167,11,1,0.92,5,3
v488_n7412_9_f1.png,Area,0.67,5,4,5,1.0,0.2,9,0,1.0,4,4
InfoVisJ.881.15.png,Area,0.7,5,2,5,1.0,0.1,6,1,0.86,2,3
InfoVisC.115.4.png,Area,0.71,5,4,5,1.0,0.2,9,0,1.0,4,3
SciVisJ.700.5.png,Area,0.71,5,4,5,1.0,0.2,9,0,1.0,4,3
InfoVisC.173.9(1).png,Area,0.78,5,4,5,1.0,0.2,9,0,1.0,4,2
vis278.png,Area,0.87,5,4,5,1.0,0.2,0,9,0.0,4,4
InfoVisC.24.8.png,Area,0.87,5,4,6,1.2,0.2,10,0,1.0,3,2
InfoVisC.24.8(1).png,Area,0.94,6,5,7,1.17,0.167,10,2,0.83,5,4
InfoVisJ.1054.3.png,Area,0.39,5,4,5,1.0,0.2,8,1,0.89,4,4
wsj226.png,Bar,0.58,6,5,6,1.0,0.167,9,2,0.82,4,3
InfoVisC.57.4.png,Bar,0.58,5,3,6,1.2,0.15,9,0,1.0,3,4
economist_daily_chart_106.png,Bar,0.53,5,3,5,1.0,0.15,7,1,0.88,3,3
InfoVisJ.1204.7.png,Bar,0.42,5,4,5,1.0,0.2,9,0,1.0,4,3
wsj292.png,Bar,0.51,5,4,5,1.0,0.2,9,0,1.0,4,4
economist_daily_chart_165.png,Bar,0.43,7,4,7,1.0,0.095,5,6,0.45,4,6
economist_daily_chart_75.png,Bar,0.28,4,4,5,1.25,0.333,9,0,1.0,4,3
VASTJ.1720.4.png,Bar,0.29,4,3,5,1.25,0.25,0,8,0.0,3,4
InfoVisC.65.8.png,Bar,0.31,5,4,6,1.2,0.2,2,8,0.2,4,4
InfoVisJ.2639.8.png,Bar,0.71,5,4,5,1.0,0.2,9,0,1.0,4,3
visMost533.png,Bar,0.92,6,5,7,1.17,0.167,12,0,1.0,5,6
whoB32_1.png,Bar,0.42,5,4,6,1.2,0.2,10,0,1.0,4,4
InfoVisJ.609.8.png,Bar,0.69,5,4,5,1.0,0.2,0,9,0.0,3,5
wsj340.png,Bar,0.36,6,4,6,1.0,0.133,0,10,0.0,4,5
economist_daily_chart_4.png,Bar,0.55,5,3,5,1.0,0.15,8,0,1.0,3,4
economist_daily_chart_5.png,Bar,0.49,5,3,5,1.0,0.15,8,0,1.0,3,4
InfoVisJ.631.1(2).png,Bar,0.74,6,4,7,1.17,0.133,11,0,1.0,4,3
SciVisJ.995.5.png,Bar,0.22,5,3,5,1.0,0.15,2,6,0.25,3,3
whoQ50_2.png,Bar,0.28,4,3,5,1.25,0.25,0,8,0.0,3,4
economist_daily_chart_167.png,Bar,0.43,5,4,6,1.2,0.2,0,10,0.0,4,5
vis678.png,Bar,0.65,6,4,7,1.17,0.133,11,0,1.0,4,4
InfoVisJ.924.5.png,Bar,0.42,5,4,5,1.0,0.2,0,9,0.0,4,5
VisC.167.11.png,Bar,0.5,5,4,5,1.0,0.2,0,9,0.0,4,4
v483_n7388_11_f2.png,Bar,0.57,5,4,5,1.0,0.2,9,0,1.0,4,5
VisC.503.6.png,Bar,0.22,5,4,5,1.0,0.2,5,4,0.56,4,4
wsj135.png,Bar,0.35,6,4,6,1.0,0.133,0,10,0.0,3,4
VASTJ.412.3.png,Bar,0.36,5,3,5,1.0,0.15,0,8,0.0,3,4
whoK23_2.png,Bar,0.54,5,4,5,1.0,0.2,9,0,1.0,4,4
vis230.png,Bar,0.64,5,4,5,1.0,0.2,9,0,1.0,4,5
InfoVisJ.459.8.png,Bar,0.77,5,3,5,1.0,0.15,4,4,0.5,3,4
SciVisJ.603.12.png,Bar,0.67,5,4,6,1.2,0.2,10,0,1.0,4,3
VASTJ.1374.4.png,Bar,0.56,4,3,4,1.0,0.25,0,7,0.0,3,4
wsj28.png,Bar,0.48,5,3,5,1.0,0.15,8,0,1.0,3,5
VASTC.72.13.png,Bar,0.27,5,4,5,1.0,0.2,9,0,1.0,4,4
InfoVisC.211.18.png,Bar,0.3,4,3,5,1.25,0.25,0,8,0.0,3,4
VASTJ.432.6.png,Bar,0.3,4,3,5,1.25,0.25,0,8,0.0,3,4
InfoVisJ.1084.2.png,Bar,0.33,4,3,4,1.0,0.25,4,3,0.57,3,2
VASTC.51.6.png,Bar,0.35,5,4,5,1.0,0.2,8,1,0.89,3,4
economist_daily_chart_520.png,Bar,0.44,4,3,4,1.0,0.25,7,0,1.0,3,3
VASTJ.1332.5.png,Bar,0.45,5,4,5,1.0,0.2,0,9,0.0,3,3
wsj536.png,Bar,0.45,4,4,6,1.5,0.333,10,0,1.0,4,2
whoO06_2.png,Bar,0.45,4,3,5,1.25,0.25,4,4,0.5,3,4
whoQ14_2.png,Bar,0.46,5,4,5,1.0,0.2,9,0,1.0,4,4
VASTJ.1720.12.png,Bar and point,0.46,5,3,5,1.0,0.15,0,8,0.0,3,4
whoB03_1.png,Bar,0.47,4,3,5,1.25,0.25,0,8,0.0,3,4
wsj360.png,Bar,0.49,4,3,5,1.25,0.25,8,0,1.0,3,4
v487_n7408_15_f3.png,Bar,0.52,4,4,5,1.25,0.333,8,1,0.89,4,2
v490_n7418_1_f2.png,Bar,0.66,5,4,5,1.0,0.2,9,0,1.0,4,3
VASTJ.101.1.png,Bar,0.74,5,4,6,1.2,0.2,10,0,1.0,4,3
visMost54.png,Bar,0.79,6,3,6,1.0,0.1,9,0,1.0,3,4
wsj299.png,Bar,0.62,5,4,5,1.0,0.2,9,0,1.0,4,4
whoB17_1.png,Bar,0.52,5,3,5,1.0,0.15,6,2,0.75,3,5
SciVisJ.1043.12(4).png,Cont.-ColorPatn,0.44,5,4,7,1.4,0.2,11,0,1.0,4,3
VASTC.107.8.png,Cont.-ColorPatn,0.59,5,5,6,1.2,0.25,11,0,1.0,5,3
VisC.233.1.png,Cont.-ColorPatn,0.57,5,4,7,1.4,0.2,11,0,1.0,4,3
VisJ.1413.7.png,Cont.-ColorPatn,0.75,5,3,5,1.0,0.15,8,0,1.0,3,4
v484_n7392_13_f1(1).png,Cont.-ColorPatn,0.57,5,4,5,1.0,0.2,4,5,0.44,4,3
VisC.255.7.png,Cont.-ColorPatn,0.38,5,4,5,1.0,0.2,9,0,1.0,4,3
SciVisJ.2305.5.png,Cont.-ColorPatn,0.56,5,4,5,1.0,0.2,9,0,1.0,4,4
SciVisJ.2926.1.png,Cont.-ColorPatn,0.74,5,4,5,1.0,0.2,9,0,1.0,4,5
SciVisJ.1246.8.png,Cont.-ColorPatn,0.7,5,3,7,1.4,0.15,10,0,1.0,3,4
SciVisJ.259.14.png,Cont.-ColorPatn,0.75,5,4,5,1.0,0.2,6,3,0.67,4,3
InfoVisJ.651.7.png,Cont.-ColorPatn,0.56,5,5,7,1.4,0.25,12,0,1.0,5,2
SciVisJ.796.18.png,Cont.-ColorPatn,0.51,5,3,5,1.0,0.15,8,0,1.0,3,3
SciVisJ.1819.4(5).png,Cont.-ColorPatn,0.59,5,4,6,1.2,0.2,10,0,1.0,4,2
SciVisJ.744.13.png,Cont.-ColorPatn,0.54,6,5,7,1.17,0.167,12,0,1.0,5,4
InfoVisJ.2181.9.png,Cont.-ColorPatn,0.65,6,5,7,1.17,0.167,12,0,1.0,5,4
VisJ.1541.1(2).png,Cont.-ColorPatn,0.77,5,4,6,1.2,0.2,8,2,0.8,4,2
VisC.623.5.png,Cont.-ColorPatn,0.71,5,3,5,1.0,0.15,8,0,1.0,3,3
SciVisJ.625.5.png,Cont.-ColorPatn,0.54,5,3,5,1.0,0.15,7,1,0.88,3,3
VASTC.19.8.png,Cont.-ColorPatn,0.68,6,4,6,1.0,0.133,10,0,1.0,4,4
VisC.495.10(1).png,Cont.-ColorPatn,0.6,4,3,4,1.0,0.25,0,7,0.0,3,3
SciVisJ.796.5(1).png,Cont.-ColorPatn,0.47,5,4,6,1.2,0.2,10,0,1.0,4,4
SciVisJ.635.6.png,Cont.-ColorPatn,0.42,6,5,6,1.0,0.167,11,0,1.0,5,2
SciVisJ.821.4.png,Cont.-ColorPatn,0.8,5,5,7,1.4,0.25,12,0,1.0,5,5
VisC.433.1.png,Cont.-ColorPatn,0.63,5,4,5,1.0,0.2,9,0,1.0,4,2
VisC.599.6.png,Cont.-ColorPatn,0.53,6,5,6,1.0,0.167,11,0,1.0,5,4
SciVisJ.1043.12(5).png,Cont.-ColorPatn,0.56,5,4,5,1.0,0.2,9,0,1.0,4,5
v483_n7391_8_f5.png,Cont.-ColorPatn,0.62,7,5,7,1.0,0.119,12,0,1.0,5,4
VisJ.1515.12.png,Cont.-ColorPatn,0.58,6,4,8,1.33,0.133,12,0,1.0,4,4
SciVisJ.1819.4.png,Cont.-ColorPatn,0.53,6,5,7,1.17,0.167,12,0,1.0,5,4
VisC.233.3(2).png,Cont.-ColorPatn,0.59,5,4,6,1.2,0.2,10,0,1.0,3,2
VisC.295.3.png,Cont.-ColorPatn,0.59,5,4,6,1.2,0.2,10,0,1.0,4,2
VisC.175.1(3).png,Cont.-ColorPatn,0.63,4,4,5,1.25,0.333,9,0,1.0,4,3
SciVisJ.857.8(3).png,Cont.-ColorPatn,0.64,5,4,6,1.2,0.2,9,1,0.9,4,2
SciVisJ.2926.3.png,Cont.-ColorPatn,0.66,5,3,5,1.0,0.15,5,3,0.62,3,2
SciVisJ.801.15.png,Cont.-ColorPatn,0.66,5,4,5,1.0,0.2,9,0,1.0,4,2
VASTJ.170.6.png,Cont.-ColorPatn,0.66,5,4,5,1.0,0.2,6,3,0.67,4,2
InfoVisJ.681.1.png,Cont.-ColorPatn,0.69,6,5,7,1.17,0.167,11,1,0.92,5,3
SciVisJ.1043.14.png,Cont.-ColorPatn,0.71,4,3,5,1.25,0.25,8,0,1.0,2,3
SciVisJ.259.7.png,Cont.-ColorPatn,0.75,5,4,5,1.0,0.2,9,0,1.0,4,4
InfoVisJ.413.3.png,Cont.-ColorPatn,0.81,5,4,6,1.2,0.2,10,0,1.0,3,3
SciVisJ.765.11.png,Cont.-ColorPatn,0.82,6,5,6,1.0,0.167,11,0,1.0,5,4
SciVisJ.975.7.png,Cont.-ColorPatn,0.63,6,4,6,1.0,0.133,9,1,0.9,4,4
InfoVisJ.1558.9(2).png,Glyph,0.61,5,4,6,1.2,0.2,10,0,1.0,4,3
VisC.73.8.png,Glyph,0.92,5,3,6,1.2,0.15,9,0,1.0,3,3
VisJ.1197.3.png,Glyph,0.52,4,3,5,1.25,0.25,8,0,1.0,3,3
VisJ.1595.7.png,Glyph,0.62,5,4,5,1.0,0.2,9,0,1.0,4,3
VisJ.1329.4(2).png,Glyph,0.75,5,4,5,1.0,0.2,9,0,1.0,4,3
VisC.249.5.png,Glyph,0.67,5,4,5,1.0,0.2,9,0,1.0,4,3
InfoVisJ.2576.2.png,Glyph,0.55,5,3,6,1.2,0.15,0,9,0.0,3,4
VisJ.1949.11.png,Glyph,0.45,5,4,6,1.2,0.2,10,0,1.0,4,4
InfoVisJ.1558.11(6).png,Glyph,0.6,5,4,5,1.0,0.2,2,7,0.22,4,2
SciVisJ.797.13.png,Glyph,0.73,5,4,5,1.0,0.2,9,0,1.0,4,4
SciVisJ.891.13.png,Glyph,0.91,5,5,6,1.2,0.25,8,3,0.73,5,4
VisC.27.5.png,Glyph,0.76,5,3,6,1.2,0.15,9,0,1.0,3,4
VisJ.1197.5.png,Glyph,0.7,5,5,7,1.4,0.25,12,0,1.0,5,3
InfoVisJ.2251.3(3).png,Glyph,0.35,5,3,6,1.2,0.15,7,2,0.78,3,4
SciVisJ.728.4(2).png,Glyph,0.41,5,4,7,1.4,0.2,11,0,1.0,4,3
SciVisJ.980.7(2).png,Glyph,0.65,5,4,5,1.0,0.2,0,9,0.0,4,4
SciVisJ.797.11(3).png,Glyph,0.65,3,2,5,1.67,0.333,7,0,1.0,2,3
VisJ.1949.18(3).png,Glyph,0.57,6,5,6,1.0,0.167,7,4,0.64,5,3
VisC.559.6.png,Glyph,0.51,6,5,7,1.17,0.167,12,0,1.0,5,4
v487_n7406_7_f3.png,Glyph,0.7,5,3,6,1.2,0.15,9,0,1.0,3,2
VisJ.1329.1(4).png,Glyph,0.64,5,4,5,1.0,0.2,9,0,1.0,4,3
VASTC.43.2.png,Glyph,0.75,5,5,7,1.4,0.25,12,0,1.0,5,2
InfoVisJ.2251.1(3).png,Glyph,0.57,6,4,6,1.0,0.133,6,4,0.6,4,4
SciVisJ.797.13(3).png,Glyph,0.66,5,5,7,1.4,0.25,12,0,1.0,5,3
VisJ.1595.6(2).png,Glyph,0.54,7,5,7,1.0,0.119,12,0,1.0,5,3
InfoVisJ.1558.5.png,Glyph,0.41,5,4,6,1.2,0.2,3,7,0.3,4,3
VisJ.1197.5(4).png,Glyph,0.72,5,4,7,1.4,0.2,11,0,1.0,4,4
VisJ.1499.8.png,Glyph,0.69,5,4,5,1.0,0.2,9,0,1.0,4,2
VisJ.1421.5(2).png,Glyph,0.34,5,4,5,1.0,0.2,9,0,1.0,4,5
SciVisJ.797.13(4).png,Glyph,0.53,5,4,6,1.2,0.2,10,0,1.0,4,4
SciVisC.49.5.png,Glyph,0.55,6,5,7,1.17,0.167,12,0,1.0,4,4
VisJ.1949.4(3).png,Glyph,0.64,5,3,5,1.0,0.15,8,0,1.0,3,4
SciVisJ.980.7.png,Glyph,0.67,5,3,7,1.4,0.15,10,0,1.0,3,4
VisC.647.8.png,Glyph,0.74,6,4,7,1.17,0.133,11,0,1.0,4,4
VisJ.1329.5(3).png,Glyph,0.76,4,4,5,1.25,0.333,9,0,1.0,4,3
InfoVisJ.1558.9.png,Glyph,0.54,7,5,7,1.0,0.119,11,1,0.92,5,5
VisJ.1197.5(3).png,Glyph,0.76,6,5,7,1.17,0.167,12,0,1.0,5,3
VisC.389.7.png,Glyph,0.85,5,4,5,1.0,0.2,9,0,1.0,3,4
VASTC.81.3(2).png,Glyph,0.28,5,4,5,1.0,0.2,0,9,0.0,4,3
SciVisJ.980.9.png,Glyph,0.32,6,4,6,1.0,0.133,7,3,0.7,4,4
VisJ.1949.7(2).png,Glyph,0.51,5,3,5,1.0,0.15,8,0,1.0,3,3
SciVisJ.980.13.png,Glyph,0.52,4,3,5,1.25,0.25,8,0,1.0,3,2
VisJ.1949.2.png,Glyph,0.53,5,4,5,1.0,0.2,9,0,1.0,4,3
VisJ.1499.2.png,Glyph,0.54,4,3,4,1.0,0.25,0,7,0.0,3,2
InfoVisJ.2251.1(2).png,Glyph,0.56,5,4,5,1.0,0.2,9,0,1.0,4,2
InfoVisJ.1558.11(3).png,Glyph,0.57,6,5,6,1.0,0.167,11,0,1.0,5,4
VisJ.1949.13.png,Glyph,0.6,5,3,6,1.2,0.15,9,0,1.0,3,3
VisJ.1949.11(2).png,Glyph,0.61,4,3,4,1.0,0.25,7,0,1.0,3,2
VisJ.1949.18.png,Glyph,0.63,5,5,6,1.2,0.25,11,0,1.0,5,2
VisC.249.6.png,Glyph,0.64,4,3,5,1.25,0.25,8,0,1.0,3,2
InfoVisJ.1558.7.png,Glyph,0.65,4,2,5,1.25,0.167,6,1,0.86,2,2
SciVisJ.995.10(3).png,Glyph,0.66,6,5,7,1.17,0.167,11,1,0.92,5,4
VisC.248.3.png,Glyph,0.67,5,4,7,1.4,0.2,6,5,0.55,4,2
SciVisJ.877.8(2).png,Glyph,0.68,4,3,4,1.0,0.25,3,4,0.43,3,2
VisJ.1329.1.png,Glyph,0.7,5,4,5,1.0,0.2,9,0,1.0,4,4
VisC.73.8(2).png,Glyph,0.7,5,5,7,1.4,0.25,12,0,1.0,5,3
v490_n7420_13_f1.png,Glyph,0.71,4,4,5,1.25,0.333,9,0,1.0,3,2
VisJ.1595.9(2).png,Glyph,0.71,5,4,5,1.0,0.2,6,3,0.67,4,2
SciVisJ.821.16.png,Glyph,0.72,4,2,4,1.0,0.167,6,0,1.0,2,3
VisJ.1499.5.png,Glyph,0.74,4,3,4,1.0,0.25,5,2,0.71,3,2
SciVisJ.980.12(2).png,Glyph,0.77,6,4,6,1.0,0.133,5,5,0.5,4,6
VisJ.1949.16(2).png,Glyph,0.81,6,4,6,1.0,0.133,10,0,1.0,4,4
SciVisJ.867.7.png,Glyph,0.84,6,4,6,1.0,0.133,10,0,1.0,4,4
SciVisJ.2664.2.png,Glyph,0.74,5,5,7,1.4,0.25,12,0,1.0,5,4
SciVisJ.822.12.png,Grid,0.77,4,3,4,1.0,0.25,6,1,0.86,3,2
InfoVisJ.1073.3.png,Grid,0.47,5,4,5,1.0,0.2,9,0,1.0,4,4
v488_n7409_19_f1.png,Grid,0.75,7,5,7,1.0,0.119,12,0,1.0,5,4
InfoVisJ.1149.8(2).png,Grid,0.76,5,4,7,1.4,0.2,11,0,1.0,4,3
InfoVisJ.2102.16.png,Grid,0.77,6,5,7,1.17,0.167,12,0,1.0,5,4
v487_n7407_7_f2.png,Grid,0.85,5,4,5,1.0,0.2,3,6,0.33,4,3
VASTJ.31.2.png,Grid,0.65,5,4,6,1.2,0.2,10,0,1.0,4,2
InfoVisJ.1933.13.png,Grid,0.68,5,5,7,1.4,0.25,12,0,1.0,5,4
InfoVisJ.1073.1.png,Grid,0.73,5,3,5,1.0,0.15,8,0,1.0,3,3
VASTC.123.3.png,Grid,0.54,5,4,6,1.2,0.2,9,1,0.9,4,2
VASTJ.2908.2.png,Grid,0.52,5,4,5,1.0,0.2,9,0,1.0,4,3
SciVisJ.807.5(2).png,Grid,0.54,5,4,7,1.4,0.2,0,11,0.0,4,3
SciVisJ.728.14.png,Grid,0.5,6,5,7,1.17,0.167,10,2,0.83,5,5
VASTC.3.3.png,Grid,0.71,5,4,5,1.0,0.2,9,0,1.0,4,3
VASTC.59.11(1).png,Grid,0.53,5,4,6,1.2,0.2,10,0,1.0,4,3
SciVisJ.1236.10.png,Grid,0.72,6,5,7,1.17,0.167,12,0,1.0,5,4
InfoVisJ.946.6.png,Grid,0.57,5,4,5,1.0,0.2,9,0,1.0,4,4
VASTJ.1160.6.png,Grid,0.62,5,4,7,1.4,0.2,11,0,1.0,3,2
visMost83.png,Grid,0.52,5,4,5,1.0,0.2,9,0,1.0,4,3
InfoVisJ.2072.12.png,Grid,0.57,4,3,5,1.25,0.25,8,0,1.0,3,3
VASTC.115.3.png,Grid,0.64,5,4,5,1.0,0.2,9,0,1.0,4,3
VisC.147.8(2).png,Grid,0.4,4,4,5,1.25,0.333,9,0,1.0,4,2
VASTJ.1764.2.png,Grid,0.61,5,4,5,1.0,0.2,9,0,1.0,4,3
VASTJ.31.12(3).png,Grid,0.57,5,4,7,1.4,0.2,10,1,0.91,4,4
VASTC.24.5.png,Grid,0.55,6,5,7,1.17,0.167,12,0,1.0,5,4
VASTC.41.5.png,Grid,0.84,5,4,6,1.2,0.2,10,0,1.0,4,3
InfoVisJ.1149.6(1).png,Grid,0.95,5,5,7,1.4,0.25,12,0,1.0,5,2
VASTJ.870.4.png,Grid,0.48,4,4,6,1.5,0.333,0,10,0.0,4,3
vis393.png,Grid,0.6,5,4,6,1.2,0.2,10,0,1.0,4,4
VASTJ.1160.7.png,Grid,0.72,6,5,7,1.17,0.167,12,0,1.0,5,4
InfoVisJ.449.8.png,Grid,0.94,5,4,6,1.2,0.2,10,0,1.0,4,2
InfoVisJ.2082.3.png,Grid,0.78,7,5,7,1.0,0.119,9,3,0.75,5,4
