raw_name,synset,category,source
annotation,text.annotation,text,original
annotation_label,text.annotation,text,original
annotation_labels,text.annotation,text,original
annotation_text,text.annotation,text,original
area,mark.area,mark,original
area_chart,mark.area,mark,original
area_marks,mark.area,mark,original
area_shape,mark.area,mark,original
arrow,mark.symbol,mark,original
axes,furniture.axes,furniture,original
axis,furniture.axes,furniture,original
axis_label,text.axis_label,text,original
axis_labels,text.axis_label,text,original
background,structure.background,structure,original
bar,mark.bar,mark,original
bar_chart,mark.bar,mark,original
bar_segment,mark.bar,mark,original
bars,mark.bar,mark,original
bounding_box,structure.panel,structure,original
box,structure.panel,structure,original
bubble,mark.point,mark,original
caption,text.description,text,original
cell,structure.cell,structure,original
chart,whole.visualization,whole,original
chart_structure,whole.visualization,whole,original
circle,mark.point,mark,original
circles,mark.point,mark,original
color,property.color,property,original
color_bands,mark.color_segment,mark,original
color_code,furniture.legend,furniture,original
color_encoding,property.color,property,original
color_fill,property.color,property,original
color_gradient,property.color,property,original
color_legend,furniture.legend,furniture,original
color_overlay,property.color,property,original
color_palette,property.color,property,original
color_pattern,property.color,property,original
color_regions,mark.color_segment,mark,original
color_scale,property.color,property,original
color_scheme,property.color,property,original
color_segment,mark.color_segment,mark,original
color_segments,mark.color_segment,mark,original
color_shading,property.color,property,original
color_variety,property.color,property,original
concept,content.domain,content,original
connecting_line,mark.line,mark,original
connecting_lines,mark.line,mark,original
connection,structure.link,structure,original
country_label,text.label,text,original
country_labels,text.label,text,original
curved_lines,mark.line,mark,original
dashed_line,mark.line,mark,original
data,content.data,content,original
data_area,structure.region,structure,original
data_encoding,property.encoding,property,original
data_pattern,structure.pattern,structure,original
data_point,mark.point,mark,original
data_points,mark.point,mark,original
description,text.description,text,original
detail,content.detail,content,original
dot,mark.point,mark,original
dots,mark.point,mark,original
edge,structure.link,structure,original
edges,structure.link,structure,original
element,mark.element,mark,original
encoding,property.encoding,property,original
explanation_text,text.label,text,original
flow_pattern,structure.pattern,structure,original
font_size,property.font_size,property,original
glyph,mark.glyph,mark,original
glyphs,mark.glyph,mark,original
graph,whole.visualization,whole,original
grid,structure.grid,structure,original
grid_cells,structure.grid,structure,original
grid_lines,mark.line,mark,original
heatmap_grid,structure.grid,structure,original
icon,mark.symbol,mark,original
image,whole.visualization,whole,original
information,content.data,content,original
knowledge,content.domain,content,original
label,text.label,text,original
label_text,text.label,text,original
labels,text.label,text,original
large_words,text.label,text,original
layout,structure.layout,structure,original
layout_structure,structure.layout,structure,original
legend,furniture.legend,furniture,original
line,mark.line,mark,original
line_chart,whole.visualization,whole,original
line_curve,mark.line,mark,original
lines,mark.line,mark,original
link,structure.link,structure,original
map,whole.visualization,whole,original
map_background,structure.background,structure,original
network_graph,whole.visualization,whole,original
node,mark.node,mark,original
node_cluster,mark.node,mark,original
node_label,text.label,text,original
node_labels,text.label,text,original
node_link_diagram,whole.visualization,whole,original
node_link_graph,whole.visualization,whole,original
nodes,mark.node,mark,original
number,content.number,content,original
numbers,content.number,content,original
object,mark.element,mark,original
overall_layout,structure.layout,structure,original
pattern,structure.pattern,structure,original
pie_chart,whole.visualization,whole,original
point,mark.point,mark,original
region,structure.region,structure,original
scatter_plot,whole.visualization,whole,original
scatter_points,mark.point,mark,original
shape,mark.shape,mark,original
shapes,mark.shape,mark,original
small_text,text.label,text,original
stacked_area_chart,mark.area,mark,original
stacked_bar,mark.bar,mark,original
street_labels,text.label,text,original
symbol,mark.symbol,mark,original
text,text.label,text,original
text_content,text.label,text,original
text_label,text.label,text,original
text_labels,text.label,text,original
text_words,text.label,text,original
title,text.title,text,original
title_label,text.title,text,original
vertical_line,mark.line,mark,original
visual_encoding,property.encoding,property,original
visualization,whole.visualization,whole,original
word_cloud,whole.visualization,whole,original
words,text.label,text,original
world_map,whole.visualization,whole,original
x_axis,furniture.axes,furniture,original
x_axis_label,text.axis_label,text,original
y_axis,furniture.axes,furniture,original
y_axis_label,text.axis_label,text,original
zoom_inset,structure.region,structure,original
3d_elements,mark.element,mark,extended
