,n_obj,n_obj,n_obj,n_attr,n_attr,n_attr,n_rel,n_rel,n_rel,n_obj_uniq,n_obj_uniq,n_obj_uniq,n_attr_uniq,n_attr_uniq,n_attr_uniq,n_rel_uniq,n_rel_uniq,n_rel_uniq
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
VisType,,,,,,,,,,,,,,,,,,
Area,2.89,3.0,1.56,4.31,3.0,4.91,1.85,2.0,1.47,2.82,3.0,1.43,4.31,3.0,4.91,1.85,2.0,1.47
Bar,2.39,2.0,1.31,2.84,2.0,2.3,1.29,1.0,1.14,2.27,2.0,1.25,2.84,2.0,2.3,1.29,1.0,1.14
Cont.-ColorPatn,2.9,3.0,1.36,3.93,3.0,3.81,1.93,2.0,1.37,2.76,3.0,1.36,3.93,3.0,3.81,1.93,2.0,1.37
Glyph,2.55,2.5,1.31,3.2,3.0,2.3,1.56,2.0,1.3,2.48,2.0,1.28,3.2,3.0,2.3,1.53,2.0,1.23
Grid,2.8,3.0,1.42,3.63,3.0,3.62,1.72,2.0,1.24,2.68,2.0,1.29,3.63,3.0,3.62,1.72,2.0,1.24
Line,2.98,3.0,1.44,3.48,3.0,2.08,1.81,2.0,1.21,2.83,3.0,1.42,3.44,3.0,2.08,1.81,2.0,1.21
Node-link,3.06,3.0,1.53,4.11,3.0,2.88,2.05,2.0,1.47,2.92,3.0,1.43,4.11,3.0,2.88,2.05,2.0,1.47
Point,3.31,3.0,1.7,4.29,3.5,3.37,2.19,2.0,1.46,3.1,3.0,1.54,4.28,3.0,3.37,2.17,2.0,1.44
Text,2.71,2.0,1.5,3.24,3.0,2.36,1.73,2.0,1.22,2.55,2.0,1.38,3.24,3.0,2.36,1.73,2.0,1.22
